,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.00343,https://api.spotify.com/v1/audio-analysis/1OAYKfE0YdrN7C1yLWaLJo,0.904,267067,0.62,1OAYKfE0YdrN7C1yLWaLJo,0.000249,2,0.0504,-8.124,1,0.0595,134.969,4,https://api.spotify.com/v1/tracks/1OAYKfE0YdrN7C1yLWaLJo,audio_features,spotify:track:1OAYKfE0YdrN7C1yLWaLJo,0.526
1,0.00302,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,0.903,267067,0.621,0wwPcA6wtMf6HUMpIRdeP7,0.000186,2,0.0504,-8.132,1,0.0578,134.969,4,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,audio_features,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.544
2,0.00282,https://api.spotify.com/v1/audio-analysis/1c5CD2n7JD4CO4hHR6hyNJ,0.901,267187,0.633,1c5CD2n7JD4CO4hHR6hyNJ,0.000194,2,0.0485,-8.026,1,0.0576,134.966,4,https://api.spotify.com/v1/tracks/1c5CD2n7JD4CO4hHR6hyNJ,audio_features,spotify:track:1c5CD2n7JD4CO4hHR6hyNJ,0.567
3,0.00243,https://api.spotify.com/v1/audio-analysis/0PVLrYwxpQQts9CvEXLcWx,0.903,267187,0.633,0PVLrYwxpQQts9CvEXLcWx,0.000334,2,0.0485,-8.017,1,0.0568,134.965,4,https://api.spotify.com/v1/tracks/0PVLrYwxpQQts9CvEXLcWx,audio_features,spotify:track:0PVLrYwxpQQts9CvEXLcWx,0.563
